JobID UserName QueueName TotalNodes TotalCores RequiredTime JobState ElaspedTime NodeList
1006468.un05 anandha2 large 16 320 96:00 R 70:07 hpc029,hpc063,hpc243,hpc244,hpc266,hpc267,hpc311,hpc375,hpc386,hpc418,hpc420,hpc423,hpc425,hpc428,hpc463,hpc467
990348.un05 kavatar small 2 40 120:0 R 96:57 hpc797,hpc799
996905.un05 rupeshks medium 4 80 96:00 R 87:08 hpc505,hpc506,hpc614,hpc708
998440.un05 adigoyal medium 4 80 96:00 R 63:51 hpc660,hpc692,hpc636,hpc645
1001394.un05 mosesb medium 6 120 96:00 R 19:19 hpc573,hpc584,hpc637,hpc670,hpc707,hpc742
1003395.un05 kavatar hyperthr 2 80 120:0 R 19:31 hpc848,hpc852
1003620.un05 shitansh large 10 200 96:00 R 01:30 hpc283,hpc297,hpc035,hpc036,hpc055,hpc056,hpc087,hpc101,hpc165,hpc167
1006883.un05 yksri large 16 320 96:00 R 12:09 hpc080,hpc082,hpc337,hpc345,hpc378,hpc388,hpc426,hpc427,hpc429,hpc430,hpc432,hpc433,hpc469,hpc473,hpc475,hpc480
1004182.un05 subhamr medium 4 80 96:00 R 09:41 hpc652,hpc635,hpc643,hpc644
1004185.un05 prasenj hyperthr 2 80 120:0 R 101:4 hpc850,hpc849
1001003.un05 gdurgesh large 16 320 96:00 R 86:34 hpc006,hpc008,hpc033,hpc037,hpc043,hpc044,hpc052,hpc086,hpc088,hpc099,hpc105,hpc154,hpc460,hpc464,hpc484,hpc058
1004941.un05 prasenj medium 4 80 96:00 R 41:42 hpc682,hpc685,hpc701,hpc672
1004949.un05 subhamr large 6 120 96:00 R 14:21 hpc013,hpc018,hpc027,hpc104,hpc139,hpc169
1005120.un05 rshreya medium 2 40 96:00 R 76:19 hpc641,hpc642
1005316.un05 digamber small 2 40 120:0 R 13:12 hpc762,hpc765
1006737.un05 kavanmp2 large 16 320 96:00 R 45:11 hpc477,hpc188,hpc106,hpc158,hpc161,hpc198,hpc201,hpc202,hpc206,hpc236,hpc238,hpc245,hpc260,hpc295,hpc296,hpc309
1006840.un05 lawpraka large 16 320 96:00 R 28:19 hpc031,hpc032,hpc143,hpc144,hpc145,hpc146,hpc147,hpc148,hpc187,hpc194,hpc235,hpc278,hpc317,hpc341,hpc485,hpc486
1005402.un05 krishnar medium 2 40 96:00 R 76:09 hpc488,hpc489
1005451.un05 subhamr large 6 120 96:00 R 09:23 hpc066,hpc067,hpc068,hpc070,hpc069,hpc071
1005452.un05 subhamr hyperthr 2 80 120:0 R 24:33 hpc843,hpc846
1005467.un05 anurags2 small 2 40 120:0 R 119:2 hpc805,hpc813
1005471.un05 tvinay small 2 40 120:0 R 114:4 hpc812,hpc814
1005565.un05 asarkar small 2 40 120:0 R 102:2 hpc811,hpc820
1005598.un05 krishnar small 2 40 120:0 R 76:03 hpc743,hpc755
1005601.un05 razia large 10 200 96:00 R 84:02 hpc323,hpc324,hpc331,hpc332,hpc177,hpc179,hpc180,hpc186,hpc215,hpc285
1005609.un05 meesalas small 2 40 120:0 R 98:09 hpc823,hpc836
1005671.un05 meesalas small 2 40 120:0 R 75:36 hpc772,hpc775
1005751.un05 bgovind small 2 40 120:0 R 83:44 hpc757,hpc827
1005754.un05 kmashok large 12 240 96:00 R 76:47 hpc326,hpc327,hpc328,hpc406,hpc361,hpc363,hpc403,hpc404,hpc405,hpc413,hpc097,hpc140
1005819.un05 anikm21 large 7 140 96:00 R 68:45 hpc112,hpc306,hpc308,hpc367,hpc381,hpc387,hpc461
1005974.un05 anurags2 small 2 40 120:0 R 72:59 hpc828,hpc831
1005990.un05 bgovind medium 2 40 96:00 R 85:52 hpc610,hpc612
1005999.un05 meesalas medium 2 40 96:00 R 80:06 hpc524,hpc528
