JobID UserName QueueName TotalNodes TotalCores RequiredTime JobState ElaspedTime NodeList
1001394.un05 mosesb medium 6 120 96:00 R 90:45 hpc573,hpc584,hpc637,hpc670,hpc707,hpc742
1003395.un05 kavatar hyperthr 2 80 120:0 R 90:58 hpc848,hpc852
1003722.un05 dkgorai medium 4 80 96:00 R 19:24 hpc708,hpc717,hpc727,hpc728
1006883.un05 yksri large 16 320 96:00 R 83:36 hpc080,hpc082,hpc337,hpc345,hpc378,hpc388,hpc426,hpc427,hpc429,hpc430,hpc432,hpc433,hpc469,hpc473,hpc475,hpc480
1004182.un05 subhamr medium 4 80 96:00 R 81:08 hpc652,hpc635,hpc643,hpc644
1004949.un05 subhamr large 6 120 96:00 R 85:47 hpc013,hpc018,hpc027,hpc104,hpc139,hpc169
1005316.un05 digamber small 2 40 120:0 R 84:37 hpc762,hpc765
1005451.un05 subhamr large 6 120 96:00 R 80:50 hpc066,hpc067,hpc068,hpc070,hpc069,hpc071
1005452.un05 subhamr hyperthr 2 80 120:0 R 96:00 hpc843,hpc846
1006050.un05 prasenj hyperthr 2 80 120:0 R 53:09 hpc850,hpc849
1006373.un05 krishnar small 2 40 120:0 R 92:24 hpc760,hpc761
1006380.un05 rishik21 small 2 40 120:0 R 119:2 hpc795,hpc800
1006383.un05 rishik21 small 2 40 120:0 R 116:5 hpc747,hpc749
1006387.un05 rishik21 small 2 40 120:0 R 81:51 hpc745,hpc792
1006390.un05 meesalas small 2 40 120:0 R 80:17 hpc824,hpc825
1006406.un05 bhavanap small 2 40 120:0 R 76:02 hpc830,hpc832
1006429.un05 rshreya medium 2 40 96:00 R 54:02 hpc638,hpc641
1006431.un05 rshreya medium 2 40 96:00 R 75:09 hpc702,hpc699
1006502.un05 abhigpt large 10 200 96:00 R 89:35 hpc350,hpc373,hpc318,hpc060,hpc280,hpc314,hpc339,hpc364,hpc422,hpc440
1006542.un05 prasenj small 2 40 120:0 R 102:0 hpc789,hpc826
1006590.un05 owaism small 2 40 120:0 R 100:5 hpc834,hpc794
1006593.un05 owaism small 2 40 120:0 R 97:31 hpc746,hpc753
1006689.un05 kavatar small 2 40 120:0 R 96:58 hpc780,hpc782
1006708.un05 kavatar small 2 40 120:0 R 48:23 hpc797,hpc799
1007383.un05 kavanmp2 large 16 320 96:00 R 50:40 hpc175,hpc184,hpc310,hpc316,hpc342,hpc372,hpc374,hpc377,hpc462,hpc465,hpc162,hpc164,hpc191,hpc195,hpc252,hpc279
1006746.un05 subhamr small 2 40 120:0 R 83:34 hpc759,hpc763
1006757.un05 vthakkur large 10 200 96:00 R 74:39 hpc170,hpc203,hpc320,hpc330,hpc344,hpc354,hpc384,hpc399,hpc400,hpc402
1006763.un05 krishnar medium 2 40 96:00 R 53:45 hpc490,hpc493
1007317.un05 anandha2 large 16 320 96:00 R 59:27 hpc043,hpc044,hpc065,hpc089,hpc090,hpc091,hpc092,hpc094,hpc096,hpc098,hpc177,hpc179,hpc180,hpc186,hpc215,hpc285
1006789.un05 lawpraka large 16 320 96:00 R 61:38 hpc224,hpc239,hpc248,hpc343,hpc352,hpc380,hpc383,hpc417,hpc466,hpc483,hpc006,hpc008,hpc025,hpc028,hpc033,hpc037
1006795.un05 mmkr20 large 6 120 96:00 R 12:54 hpc095,hpc109,hpc163,hpc181,hpc468,hpc470
